"series","timestamp","value","label"
"Rise","2015-08-09T03:30:00Z",250,""
"Set","2015-08-09T19:05:00Z",1185,""
"Rise","2015-08-10T03:30:00Z",250,""
"Set","2015-08-10T19:00:00Z",1180,""
"Rise","2015-08-11T03:30:00Z",250,""
"Set","2015-08-11T18:55:00Z",1175,""
"Rise","2015-08-12T03:40:00Z",260,""
"Set","2015-08-12T19:05:00Z",1185,""
"Rise","2015-08-13T03:35:00Z",255,""
"Set","2015-08-13T18:55:00Z",1175,""
"Rise","2015-08-14T03:40:00Z",260,""
"Set","2015-08-14T18:45:00Z",1165,""
"Rise","2015-08-15T03:35:00Z",255,""
"Set","2015-08-15T19:00:00Z",1180,""
"Rise","2015-08-16T03:45:00Z",265,""
"Set","2015-08-16T18:50:00Z",1170,""
"Rise","2015-08-17T03:45:00Z",265,""
"Set","2015-08-17T18:35:00Z",1155,"discard"
"Rise","2015-08-18T03:50:00Z",270,""
"Set","2015-08-18T18:20:00Z",1140,"discard"
"Rise","2015-08-19T03:45:00Z",265,""
"Set","2015-08-19T18:30:00Z",1150,"discard"
"Rise","2015-08-20T03:55:00Z",275,""
"Set","2015-08-20T18:45:00Z",1165,""
"Rise","2015-08-21T03:35:00Z",255,""
"Set","2015-08-21T18:45:00Z",1165,""
"Rise","2015-08-22T03:50:00Z",270,""
"Set","2015-08-22T18:30:00Z",1150,""
"Rise","2015-08-23T03:50:00Z",270,""
"Set","2015-08-23T18:35:00Z",1155,""
"Rise","2015-08-24T03:55:00Z",275,""
"Set","2015-08-24T18:25:00Z",1145,""
"Rise","2015-08-25T04:15:00Z",295,"discard"
"Set","2015-08-25T18:25:00Z",1145,""
"Rise","2015-08-26T04:00:00Z",280,""
"Set","2015-08-26T18:20:00Z",1140,""
"Rise","2015-08-27T03:55:00Z",275,""
"Set","2015-08-27T18:25:00Z",1145,""
"Rise","2015-08-28T04:05:00Z",285,""
"Set","2015-08-28T18:25:00Z",1145,""
"Rise","2015-08-29T04:05:00Z",285,""
"Set","2015-08-29T18:30:00Z",1150,""
"Rise","2015-08-30T04:00:00Z",280,""
"Set","2015-08-30T18:25:00Z",1145,""
"Rise","2015-08-31T04:10:00Z",290,""
"Set","2015-08-31T18:20:00Z",1140,""
"Rise","2015-09-01T04:05:00Z",285,""
